human_means	teen_model_cos_sims
2.8	0.117286496
3.45	0.13288853
3.95	0.120726004
2.7	0.06243871
3.0	0.07743442
3.35	-0.02852344
2.9	0.1782393
3.1	0.01664096
3.6	0.061208263
2.75	0.16031717
3.9	0.121826194
3.05	0.11899974
3.0	0.030621862
2.7	0.058411475
3.05	0.13726439
