teenager,1.0000001192092896
teenage,0.8626892566680908
teenagers,0.7754637598991394
teenaged,0.7365755438804626
16-year-old,0.7288609743118286
17-year-old,0.7188838124275208
15-year-old,0.7119261026382446
youngster,0.7119236588478088
14-year-old,0.6994335651397705
18-year-old,0.6939722895622253
teen,0.6934837102890015
boy,0.691475510597229
teens,0.685650646686554
girl,0.6827199459075928
13-year-old,0.6758381128311157
young,0.6728977560997009
19-year-old,0.6685140132904053
pre-teen,0.6646069884300232
12-year-old,0.6574891805648804
kid,0.6495956182479858
teen-ager,0.6381085515022278
20-year-old,0.631527841091156
11-year-old,0.6277860403060913
woman,0.620491087436676
schoolgirl,0.6181961297988892
10-year-old,0.6086963415145874
year-old,0.6085963845252991
schoolboy,0.6069101691246033
girlfriend,0.6068989634513855
boyfriend,0.6055502891540527
adolescent,0.5996488332748413
21-year-old,0.5934399366378784
younger,0.5923511981964111
child,0.5878918170928955
mother,0.5865538120269775
22-year-old,0.5797892808914185
youngsters,0.5787889957427979
mom,0.5760263800621033
dad,0.5749911069869995
8-year-old,0.5745977163314819
eight-year-old,0.5720505118370056
daughter,0.5718586444854736
teen-age,0.5712923407554626
schooler,0.564906895160675
23-year-old,0.5643094182014465
father,0.5629434585571289
girls,0.5620661973953247
twenties,0.560762345790863
lad,0.5590936541557312
24-year-old,0.5577243566513062
seven-year-old,0.5553898811340332
high-school,0.5547446012496948
boys,0.5532763004302979
nine-year-old,0.5532599091529846
six-year-old,0.5518619418144226
9-year-old,0.5514422059059143
five-year-old,0.5500471591949463
25-year-old,0.5479035377502441
classmate,0.5463607907295227
ten-year-old,0.5457241535186768
parents,0.5441412329673767
7-year-old,0.5421350598335266
youngest,0.540941059589386
drunk,0.539584219455719
niece,0.53694087266922
26-year-old,0.5335842370986938
troubled,0.5306447148323059
toddler,0.529752254486084
ex-girlfriend,0.5279210805892944
precocious,0.5272514820098877
man,0.527087926864624
stepfather,0.5256227850914001
victim,0.5253286361694336
raped,0.5253150463104248
kids,0.5237963199615479
youths,0.5231716632843018
pregnant,0.5220514535903931
bullied,0.5214765071868896
27-year-old,0.520964503288269
stepdaughter,0.518855631351471
childhood,0.5185338258743286
schoolteacher,0.5173949003219604
sixteen-year-old,0.5164306163787842
Teenager,0.5159130096435547
blonde,0.5151622295379639
adolescence,0.5150922536849976
20-something,0.51481032371521
she,0.514787495136261
blond,0.5141753554344177
innocent,0.5138933658599854
youth,0.5134083032608032
middle-aged,0.5126938819885254
6-year-old,0.5120883584022522
grandmother,0.5112051963806152
5-year-old,0.5110750198364258
babysitter,0.5107174515724182
sexually,0.5098604559898376
sister,0.5081853270530701
herself,0.5072784423828125
nephew,0.5063058733940125
fifteen-year-old,0.5062359571456909
husband,0.506105899810791
four-year-old,0.506105363368988
30-year-old,0.5048515796661377
28-year-old,0.5045245885848999
stranger,0.5034393072128296
stabbed,0.5028380751609802
obsessed,0.5027661919593811
son,0.502491295337677
housewife,0.5021287798881531
roommate,0.5009486675262451
teen-aged,0.5004791021347046
brother,0.500360906124115
grown-up,0.5003309845924377
fourteen-year-old,0.499795138835907
starlet,0.4985654354095459
daughters,0.4984244108200073
rebellious,0.497766375541687
impressionable,0.4973568618297577
twelve-year-old,0.49604079127311707
autistic,0.4960091710090637
distraught,0.49578309059143066
seventeen-year-old,0.4953354001045227
confessed,0.49419423937797546
wife,0.49398332834243774
29-year-old,0.4931797683238983
shocked,0.49057358503341675
stepson,0.4901638627052307
cousin,0.4897298812866211
thirteen-year-old,0.487307608127594
twenty-something,0.4868047833442688
struggling,0.48658132553100586
abused,0.48631027340888977
shy,0.4857761859893799
friend,0.485541433095932
mentally,0.4853782653808594
chick,0.4853358864784241
protagonist,0.4847869575023651
drunken,0.4836875796318054
assaulted,0.4834287464618683
youthful,0.4833112359046936
brunette,0.4831511974334717
redhead,0.4823765754699707
underage,0.4823211431503296
guy,0.4819207489490509
prostitute,0.4811645746231079
granddaughter,0.48110824823379517
school,0.48059701919555664
her,0.47980621457099915
age,0.47976940870285034
cop,0.47863274812698364
terrified,0.4767160713672638
aunt,0.4767110347747803
heroine,0.47657260298728943
schoolers,0.47614747285842896
thirties,0.4742578864097595
teacher,0.47379204630851746
emo,0.47329437732696533
35-year-old,0.4731435477733612
children,0.47308966517448425
student,0.47241246700286865
frustrated,0.47233664989471436
discovers,0.4722643494606018
adulthood,0.47173669934272766
policeman,0.47089070081710815
cutie,0.4704873561859131
murdered,0.469851553440094
older,0.4673081338405609
suspect,0.46721452474594116
ex-boyfriend,0.46708929538726807
horny,0.46698296070098877
suicide,0.4668879508972168
convinced,0.46645939350128174
confronted,0.46636962890625
loner,0.46615269780158997
prodigy,0.465951532125473
finds,0.4657186269760132
pre-teens,0.46543824672698975
chubby,0.46483755111694336
40-year-old,0.464827299118042
girlfriends,0.4644424319267273
eleven-year-old,0.4639491140842438
4-year-old,0.4621274471282959
eighteen-year-old,0.46205881237983704
lesbian,0.46191301941871643
elderly,0.46187227964401245
drugged,0.46184539794921875
schoolgirls,0.46183133125305176
masturbating,0.461603045463562
admits,0.4614377021789551
mum,0.46136605739593506
teen-agers,0.4612243175506592
33-year-old,0.46092039346694946
suddenly,0.460223525762558
adult,0.4599876403808594
divorced,0.45972740650177
lonely,0.4596080780029297
worried,0.4595617651939392
when,0.45951047539711
31-year-old,0.4588959217071533
learns,0.45876628160476685
skinny,0.4584559202194214
32-year-old,0.458379864692688
molested,0.45829105377197266
confesses,0.4578711986541748
lover,0.4577159881591797
tomboy,0.45739176869392395
murdering,0.45733562111854553
