teenage,0.8004732728004456,0.11343979835510254
teenagers,0.7438666820526123,0.14019224047660828
teenager,0.7335755228996277,0.15070858597755432
teens,0.7204408645629883,0.18474721908569336
adolescent,0.6886131167411804,0.15387508273124695
teen,0.6718889474868774,0.21116621792316437
teenaged,0.6666631102561951,0.17697955667972565
pre-teen,0.6492093205451965,0.07363373786211014
young,0.631974995136261,0.09862682223320007
adolescence,0.6035564541816711,0.19912000000476837
teen-age,0.5767159461975098,0.13353805243968964
adolescents,0.571722149848938,0.15460197627544403
girls,0.5602846741676331,0.15457996726036072
girl,0.5517171025276184,0.16038307547569275
younger,0.5430259704589844,0.07751470804214478
adulthood,0.5400604009628296,0.18002238869667053
pre-teens,0.5348359942436218,0.0911419466137886
youngsters,0.530451238155365,0.11278033256530762
boy,0.5283008813858032,0.1209074854850769
boys,0.5266457796096802,0.10249023139476776
youths,0.5236911773681641,0.10812236368656158
adult,0.5200828313827515,0.10474508255720139
child,0.5167798399925232,0.06330797076225281
schoolgirl,0.516594409942627,0.1591983437538147
youngster,0.510897696018219,0.11003365367650986
16-year-old,0.5103076100349426,0.16678273677825928
adults,0.5078348517417908,0.12525294721126556
underage,0.5077295303344727,0.12941719591617584
15-year-old,0.5056853890419006,0.15833024680614471
youth,0.5047252178192139,0.0806431993842125
kid,0.5014567375183105,0.10543697327375412
childhood,0.49929845333099365,0.11271920055150986
14-year-old,0.4991146922111511,0.16188274323940277
high-school,0.4987046420574188,0.08787807822227478
lesbian,0.4975898861885071,0.17239293456077576
prepubescent,0.49566778540611267,0.0958835780620575
17-year-old,0.4942454397678375,0.16649296879768372
teen-agers,0.4917265474796295,0.10822402685880661
sex,0.4915641248226166,0.1706249862909317
13-year-old,0.4904366135597229,0.15204821527004242
parents,0.4889184236526489,0.09200629591941833
middle-aged,0.48888668417930603,0.10885507613420486
twenties,0.48831212520599365,0.09645495563745499
kids,0.4852355718612671,0.11924343556165695
college-age,0.483080118894577,0.10373151302337646
18-year-old,0.4825436472892761,0.15705299377441406
puberty,0.48199743032455444,0.12466105073690414
lesbians,0.48126453161239624,0.16197092831134796
sexually,0.4780636131763458,0.053982045501470566
children,0.4769936800003052,0.09551292657852173
schoolers,0.4767540991306305,0.10622107982635498
preteen,0.47602957487106323,0.1451793909072876
pregnant,0.47562670707702637,0.07085923850536346
teen-aged,0.4740886688232422,0.1656900942325592
schoolgirls,0.4735429883003235,0.1314009130001068
sexual,0.47287794947624207,0.06907748430967331
mothers,0.4719548225402832,0.08005774021148682
moms,0.4708404541015625,0.13129094243049622
precocious,0.4706554412841797,0.12331417202949524
12-year-old,0.4699765741825104,0.15038836002349854
woman,0.46831315755844116,0.12892958521842957
older,0.4681509733200073,0.0610794760286808
college-aged,0.46769729256629944,0.11408490687608719
grown-up,0.4655686616897583,0.07533416152000427
preteens,0.46512848138809204,0.12096595764160156
impressionable,0.4648468792438507,0.09421934187412262
tweens,0.4639790654182434,0.08752688020467758
20-something,0.46247902512550354,0.12461206316947937
school-aged,0.4544200897216797,0.09952138364315033
youthful,0.453044056892395,0.06758176535367966
pre-pubescent,0.45146405696868896,0.12718556821346283
gay,0.4496341347694397,0.1394118368625641
girlfriends,0.4495047330856323,0.12301605939865112
teen-ager,0.4494006335735321,0.12705570459365845
mom,0.44897228479385376,0.12686064839363098
horny,0.44887468218803406,0.1445535123348236
porn,0.447019100189209,0.1988791525363922
innocent,0.4456944763660431,0.09851457178592682
year-old,0.4447234869003296,0.12719550728797913
age,0.4441004991531372,0.0712427869439125
youngest,0.44378718733787537,0.09268569201231003
nubile,0.4429796636104584,0.10485563427209854
sexuality,0.44256532192230225,0.07994238287210464
daughters,0.4423649311065674,0.08567540347576141
girlfriend,0.44166964292526245,0.14320948719978333
drunk,0.44156578183174133,0.1197824478149414
chubby,0.4414930045604706,0.1301150768995285
olds,0.44143104553222656,0.09468073397874832
middle-school,0.4410533905029297,0.08117929100990295
schoolboy,0.44065818190574646,0.11703252792358398
toddlers,0.4401355981826782,0.09214776754379272
Teenage,0.4400865435600281,0.07915304601192474
19-year-old,0.438174307346344,0.16621145606040955
chicks,0.4380876421928406,0.10989739745855331
blonde,0.43678563833236694,0.1811513453722
pre-adolescent,0.4366736114025116,0.15378530323505402
naked,0.4363462030887604,0.1737910956144333
tween,0.43593326210975647,0.04578671231865883
mature,0.4356623888015747,0.13634727895259857
Teenagers,0.43533065915107727,0.11102864146232605
overweight,0.43527284264564514,0.0711287185549736
school-age,0.4352467358112335,0.09642577916383743
rape,0.43462470173835754,0.10782952606678009
autistic,0.4345908463001251,0.08049123734235764
11-year-old,0.43368324637413025,0.154405415058136
naughty,0.4334374964237213,0.1378382295370102
mother,0.4332280158996582,0.09924677014350891
juvenile,0.43271690607070923,0.07372504472732544
boyfriends,0.4323107898235321,0.07430791109800339
twenty-something,0.4321839213371277,0.13327842950820923
masturbating,0.43189549446105957,0.15996471047401428
toddler,0.431885302066803,0.06310580670833588
troubled,0.43107086420059204,0.06811491400003433
women,0.4309520423412323,0.10294509679079056
boyfriend,0.43046921491622925,0.12664222717285156
sluts,0.4300614893436432,0.17000804841518402
dads,0.42975276708602905,0.08401407301425934
female,0.4294438660144806,0.08187898993492126
angst,0.4265255033969879,0.0670599639415741
nudist,0.42597559094429016,0.150246262550354
elderly,0.4254322648048401,0.07813414186239243
incest,0.4243905246257782,0.12715597450733185
10-year-old,0.42392078042030334,0.14660930633544922
slutty,0.4229044020175934,0.13005657494068146
abused,0.42191141843795776,0.06992768496274948
Teen,0.42155203223228455,0.18171897530555725
