word	dim1	dim2	cluster
impulsive	1.3901607990264893	4.273065090179443	0
confused	-0.2949506640434265	6.9818644523620605	3
arrogant	0.6344711780548096	4.7483649253845215	2
ignorant	-0.3262249827384949	6.18064022064209	3
ambitious	2.5053961277008057	3.73909068107605	0
inexperienced	2.427799940109253	3.0031702518463135	3
rowdy	0.26457953453063965	5.483460903167725	2
attention	6.078391075134277	-2.0338211059570312	4
clubs	5.538553237915039	-2.6832542419433594	1
impatient	0.6894196271896362	5.302001476287842	2
student	6.868239402770996	-2.7730395793914795	1
error	-0.657991886138916	6.599632263183594	3
curious	4.985794544219971	1.8677836656570435	1
resilient	6.322779655456543	-1.6771026849746704	4
obnoxious	-0.6695072054862976	6.279386520385742	3
overthinking	2.227573871612549	3.456515312194824	0
immature	-0.5937444567680359	6.451717853546143	3
juvenile	5.430978775024414	-2.85122013092041	1
rebellious	1.0814671516418457	4.553846836090088	0
frisky	5.120536804199219	1.9932819604873657	1
different	5.63458776473999	-3.2180614471435547	1
exposed	3.0215516090393066	3.3117806911468506	0
grades	6.57034969329834	-2.1233184337615967	1
changing	4.508697986602783	1.994842767715454	1
grumpy	0.4256199300289154	4.8886518478393555	2
moody	0.808360755443573	4.355876445770264	2
energetic	5.6796770095825195	-0.8355181217193604	4
argumentative	6.157040119171143	-1.4569388628005981	0
independent	6.935495853424072	-2.410337448120117	4
questioning	2.68172287940979	3.435375452041626	0
restless	-0.16781499981880188	6.586394309997559	2
social	6.567942142486572	-2.9615495204925537	1
bond	5.7001190185546875	-2.30991792678833	1
misunderstood	-0.04408545792102814	5.960989475250244	3
reckless	-0.12264596670866013	6.673943042755127	2
important	6.021295547485352	-2.1188929080963135	4
gullible	4.875276565551758	2.2406349182128906	3
attentive	6.1253743171691895	-2.742208242416382	4
pubescent	4.391146659851074	2.286625623703003	1
lost	0.013886758126318455	6.914374351501465	3
idealistic	6.658227443695068	-2.463054895401001	4
emotional	5.019134521484375	2.4102509021759033	1
college	6.448920249938965	-2.3131754398345947	4
impressionable	4.805815696716309	1.580179214477539	4
irresponsible	-0.6138061881065369	6.823580265045166	3
complicated	0.9915292859077454	4.933265209197998	2
adolescence	2.7523601055145264	3.2030742168426514	0
access	5.859347820281982	-3.022923469543457	1
unproductive	0.6741584539413452	4.546588897705078	3
adolescent	5.237586975097656	2.1553945541381836	1
puberty	2.9459102153778076	2.8850488662719727	0
vulnerable	0.3921113908290863	5.753800392150879	3
spurt	3.467315435409546	2.897240400314331	0
