word	dim1	dim2	cluster
traveler	4.838477611541748	-5.671073913574219	6
cool	4.246635437011719	-5.533795356750488	6
showoff	2.3738574981689453	7.304442405700684	3
adventurous	6.723292827606201	-5.628170967102051	2
lazy	5.971972465515137	-6.854889392852783	4
cringe	0.7369654178619385	6.749239444732666	1
suicidal	-0.049916669726371765	7.5387983322143555	1
dynamic	5.637511253356934	-3.858947277069092	6
imposing	2.4578800201416016	7.827497959136963	3
ruthless	1.475638508796692	8.404343605041504	3
peaceful	3.51054310798645	-7.460596561431885	0
chill	3.5500648021698	-7.777207374572754	0
freedom	4.0116496086120605	-5.152787208557129	6
curious	6.914080619812012	-5.499654293060303	5
attractive	4.609718322753906	-5.934233665466309	6
greedy	1.337321162223816	8.28693962097168	1
intolerant	1.603156566619873	8.595646858215332	1
overthinking	2.2061188220977783	7.543989658355713	3
fashionable	4.8042683601379395	-6.055710315704346	0
rebellious	2.0645809173583984	8.008380889892578	3
study	4.132058620452881	-4.223776340484619	6
fear	-0.09854988753795624	7.1433305740356445	1
decisive	4.729645729064941	-3.996480941772461	6
coolness	4.422682762145996	-4.219571590423584	5
enjoyable	4.478654861450195	-7.590281009674072	0
volunteering	5.263309001922607	-6.232757568359375	2
entertainment	6.486165523529053	-5.681020259857178	2
pressure	2.60591721534729	7.698733329772949	3
overthinker	2.672327995300293	7.309657573699951	3
uninformed	1.0881413221359253	6.810058116912842	4
thinker	4.034506320953369	-4.336188793182373	6
toxic	0.13488397002220154	7.858262538909912	1
angry	1.1768743991851807	8.55170726776123	3
hungry	-0.031046336516737938	7.225398063659668	1
smoking	1.6155985593795776	8.06865406036377	1
generous	3.353952169418335	-6.992480278015137	6
hopeful	3.7178168296813965	-7.619061470031738	0
friendly	4.108011722564697	-7.727605819702148	0
dirty	0.6273819804191589	6.523540019989014	4
volunteer	4.003543376922607	-7.366342067718506	0
independent	3.971402406692505	-4.7004594802856445	6
creative	3.921154022216797	-5.817271709442139	6
addiction	0.5384513139724731	7.2431182861328125	1
eater	4.9587931632995605	-4.016895294189453	5
disciplined	4.265920639038086	-4.588579177856445	6
playful	6.319336414337158	-6.403442859649658	2
mature	4.198652744293213	-4.967643737792969	5
restless	0.3324899673461914	6.63347053527832	1
work	5.554625034332275	-4.090884208679199	6
excited	6.955153942108154	-5.589173316955566	2
good	4.2330193519592285	-7.897214889526367	0
harmonious	3.5543668270111084	-6.940267562866211	0
shy	5.402617931365967	-7.199636936187744	4
considerate	3.678727626800537	-6.480674743652344	0
expressive	6.727725982666016	-5.203557968139648	2
unruly	1.8352291584014893	8.138797760009766	3
attitude	5.368165969848633	-3.9378819465637207	6
irritation	0.44523534178733826	7.900529861450195	1
minor	6.872398376464844	-5.869755268096924	4
sensitive	5.8424506187438965	-7.062464714050293	5
love	4.409210681915283	-7.210127353668213	0
gossip	0.17635920643806458	6.717328071594238	1
detailed	3.966387987136841	-6.342164516448975	5
flex	5.530136585235596	-6.961932182312012	5
clever	3.454139471054077	-6.729090690612793	0
emotional	6.728907585144043	-5.998189449310303	2
drama	2.001891613006592	7.204476356506348	3
youth	4.763184070587158	-6.07968807220459	6
haughty	1.9516006708145142	8.386244773864746	3
fake	0.24776588380336761	7.611453533172607	1
solitary	5.343295574188232	-3.723116636276245	4
unsatisfied	0.8285772800445557	6.639275074005127	1
