word	dim1	dim2	cluster
injustice	2.083298921585083	8.08836555480957	3
cool	13.773639678955078	5.77627420425415	4
naughty	3.2555861473083496	8.934418678283691	3
cursed	1.7961351871490479	7.93881893157959	3
ignorant	1.3755197525024414	8.101912498474121	1
imaginative	13.725582122802734	7.433276653289795	4
suicidal	1.647718071937561	7.561993598937988	3
discipline	12.432968139648438	4.453514575958252	4
responsible	13.66245174407959	5.157480239868164	4
curiosity	8.729978561401367	6.532012939453125	0
sleepy	11.916711807250977	7.650883197784424	2
freedom	13.68055534362793	5.37907600402832	4
curious	9.239938735961914	6.51987886428833	0
hyperactive	3.4763715267181396	9.209577560424805	0
attractive	13.916841506958008	6.910394668579102	4
greedy	2.3635456562042236	8.844230651855469	3
disagreeable	1.0627226829528809	7.564198970794678	1
eldest	12.347657203674316	4.408932209014893	4
intellectual	13.327947616577148	5.792253494262695	4
fear	1.287129521369934	7.411381244659424	3
emotion	9.822770118713379	6.219391345977783	0
entertainment	8.834819793701172	6.344521522521973	0
pressure	3.5262343883514404	9.603521347045898	3
lover	9.306561470031738	6.345452785491943	0
sleeping	11.88967227935791	7.424200057983398	2
belligerent	3.237863063812256	9.482857704162598	3
innocent	12.198054313659668	7.611021041870117	2
thinker	13.303329467773438	5.383716583251953	4
angry	2.2691638469696045	8.759773254394531	3
childhood	12.135970115661621	8.111982345581055	2
generous	12.840225219726562	6.466846942901611	4
friendly	12.599771499633789	7.444299697875977	4
energetic	10.17444133758545	5.652690887451172	0
creative	13.737166404724121	5.811408042907715	4
happy	13.969401359558105	7.308748245239258	0
addiction	1.5684235095977783	8.217353820800781	3
strong	11.880087852478027	4.744726181030273	0
fearless	9.65514850616455	5.933981895446777	0
playful	8.563963890075684	6.758118629455566	0
attraction	9.225632667541504	6.084056377410889	0
lovable	12.39296817779541	7.238215923309326	4
excited	9.422746658325195	6.366490364074707	0
good	12.56786060333252	7.777130603790283	4
hardworking	12.206968307495117	4.5945658683776855	4
shy	12.078095436096191	8.185301780700684	1
unruly	2.8104281425476074	9.205117225646973	3
attitude	11.789883613586426	4.568890571594238	4
play	8.447199821472168	6.691318511962891	0
craziness	0.7226752042770386	7.876622676849365	3
intelligent	13.50323486328125	5.4886627197265625	4
love	12.952790260314941	7.508598327636719	4
gossip	0.9127442836761475	8.036478042602539	3
fearful	2.0800223350524902	8.290390968322754	1
dramaqueen	3.3879213333129883	9.426374435424805	3
obedient	12.17491626739502	7.091444492340088	2
stubborn	2.468128204345703	9.127008438110352	3
emotional	8.94583797454834	6.726149082183838	0
youth	13.683745384216309	7.125818729400635	4
haughty	2.8167333602905273	9.439977645874023	3
fake	1.8516408205032349	7.7650580406188965	1
immaturity	0.9321527481079102	8.046697616577148	1
handsome	13.822257041931152	7.557815074920654	4
solitary	12.048572540283203	4.423746109008789	1
beautiful	13.965605735778809	7.638976573944092	4
stress	1.1037065982818604	7.8337016105651855	3
honest	12.469449043273926	6.728117942810059	4
nomadic	9.931600570678711	6.161707401275635	3
brave	11.680286407470703	4.471751689910889	0
